Antecedente;Consequente;Suporte;Confiança;Lift;Rule Interest;Convicção;Score
EXTRATO_ELEFANTE_KNORRCICA;LEITE_MOCA;0,0113;0,4533;4,5231;0,0088;1,6460;0,3531;8,2613;4,1281;
COCA_COLA,FARTRIGO_RENATA;BOMBRIL;0,0106;0,4113;6,5354;0,0090;1,5916;0,3483;12,3076;4,5758;
BOMBRIL,FARTRIGO_RENATA;COCA_COLA;0,0106;0,5703;2,9379;0,0070;1,8756;0,3762;5,7710;4,0310;
BOMBRIL,COCA_COLA;FARTRIGO_RENATA;0,0106;0,3786;6,2555;0,0089;1,5118;0,3180;11,2538;4,2963;
LEITE_MOCA,MAIONESE_HELLMANN_S;BISCNESTLE;0,0144;0,5302;4,2048;0,0110;1,8601;0,4041;8,7042;4,5686;
BISCNESTLE,MAIONESE_HELLMANN_S;LEITE_MOCA;0,0144;0,6145;6,1311;0,0121;2,3341;0,5143;16,5524;5,9773;
BISCNESTLE,LEITE_MOCA;MAIONESE_HELLMANN_S;0,0144;0,3941;6,2485;0,0121;1,5463;0,3310;12,2358;4,5712;
ATUM_COQUEIRO;ACUCAR_UNIAO;0,0129;0,3649;3,9211;0,0096;1,4281;0,2719;6,3399;3,4931;
ACUCAR_UNIAO;ATUM_COQUEIRO;0,0129;0,1387;3,9211;0,0096;1,1199;0,1033;6,3399;2,4762;
CREME_DE_LEITE_NESTLE;ACUCAR_UNIAO;0,0254;0,3517;3,7795;0,0187;1,3990;0,2587;6,8945;3,8487;
ACUCAR_UNIAO;CREME_DE_LEITE_NESTLE;0,0254;0,2726;3,7795;0,0187;1,2756;0,2005;6,8945;3,4885;
PAPEL_HIGNEVE;BISCNESTLE;0,0208;0,2988;2,3697;0,0120;1,2463;0,1727;3,3386;2,7235;
BISCNESTLE;PAPEL_HIGNEVE;0,0208;0,1647;2,3697;0,0120;1,1140;0,0952;3,3386;2,1958;
COCA_COLA;ACUCAR_UNIAO;0,0383;0,1972;2,1184;0,0202;1,1297;0,1041;3,3662;2,6357;
ACUCAR_UNIAO;COCA_COLA;0,0383;0,4112;2,1184;0,0202;1,3688;0,2171;3,3662;3,4634;
COCA_COLA,CREME_DE_LEITE_NESTLE;BOMBRIL;0,0110;0,3492;5,5486;0,0091;1,4398;0,2862;9,4767;3,9206;
BOMBRIL,CREME_DE_LEITE_NESTLE;COCA_COLA;0,0110;0,5806;2,9906;0,0074;1,9213;0,3864;6,0322;4,1348;
BOMBRIL,COCA_COLA;CREME_DE_LEITE_NESTLE;0,0110;0,3942;5,4662;0,0090;1,5318;0,3221;9,7061;4,1347;
BOMBRIL;ACHOCNESCAU;0,0158;0,2515;4,2780;0,0121;1,2575;0,1927;6,9927;3,2057;
ACHOCNESCAU;BOMBRIL;0,0158;0,2692;4,2780;0,0121;1,2823;0,2063;6,9927;3,2864;
REQPOCOS_DE_CALDAS;BISCNESTLE;0,0110;0,3342;2,6502;0,0069;1,3125;0,2081;3,7160;2,7380;
BISCNESTLE;REQPOCOS_DE_CALDAS;0,0110;0,0875;2,6502;0,0069;1,0597;0,0545;3,7160;1,7364;
SPO_OMO;ACUCAR_UNIAO;0,0268;0,3794;4,0766;0,0202;1,4614;0,2863;7,9580;4,1772;
